participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary
01_2b	de	31.713	31.829	Ursula	u	SWW	focused	N/A	115	201	53	f	1
01_2b	de	54.138	54.269	Ananas	a	SWW	focused	N/A	131	251	60	f	1
01_2b	de	70.579	70.734	lIbero	e	SWW	focused	N/A	155	198	50	f	1
01_2b	de	81.858	81.944	kOsovo	o	SWW	focused	N/A	86	204	42	f	1
01_2b	de	93.19	93.294	spIritus	i	SWW	focused	N/A	104	204	53	f	1
01_2b	de	114.972	115.065	kOsovo	o	SWW	unfocused	int?	93	242	54	f	1
01_2b	de	121.935	122.015	Ursula	u	SWW	unfocused	N/A	79	252	54	f	1
01_2b	de	147.077	147.179	Ananas	a	SWW	unfocused	N/A	102	261	60	f	1
01_2b	de	154.37	154.53	melOne	o	SWW	unfocused	N/A	161	226	54	f	1
01_2b	de	173.656	173.747	spIritus	i	SWW	unfocused	N/A	91	230	50	f	0
01_2b	de	181.042	181.128	lIbero	e	SWW	unfocused	N/A	86	220	57	f	1
01_2b	de	229.28	229.351	stImulus	u	SWW	focused	N/A	71	217	57	f	1
01_2b	de	253.714	253.785	kAviar	a	SWW	focused	N/A	71	220	38	f	1
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	N/A	104	208	51	f	1
01_2b	de	291.58	291.633	Oktopus	o	SWW	focused	N/A	53	200	38	f	1
01_2b	de	302.646	302.743	kAbeljau	e	SWW	focused	N/A	97	273	57	f	1
01_2b	de	327.818	327.866	Oktopus	o	SWW	unfocused	N/A	48	244	51	f	1
01_2b	de	347.746	347.846	Abakus	a	SWW	unfocused	N/A	101	237	58	f	1
01_2b	de	355.387	355.475	stImulus	u	SWW	unfocused	N/A	87	244	58	f	0
01_2b	de	375.259	375.327	kAviar	i	SWW	unfocused	N/A	68	233	55	f	0
01_2b	de	401.722	401.843	kAbeljau	e	SWW	unfocused	N/A	121	216	57	f	0
01_2b	ua	22.077	22.126	Avtorka	o	SWW	focused	N/A	49	175	44	f	1
01_2b	ua	38.214	38.274	lAstivka	i	SWW	focused	N/A	60	195	31	f	1
01_2b	ua	58.962	59.019	stAtuya	u	SWW	focused	N/A	57	91	47	f	1
01_2b	ua	82.056	82.176	bErezen'	e	SWW	focused	N/A	120	178	51	f	1
01_2b	ua	93.551	93.609	hYkavka	a	SWW	focused	N/A	58	203	51	f	1
01_2b	ua	111.806	111.88	hYkavka	a	SWW	unfocused	N/A	74	--undefined--	40	f	1
01_2b	ua	130.49	130.536	Avtorka	o	SWW	unfocused	N/A	46	175	45	f	1
01_2b	ua	149.251	149.292	stAtuya	u	SWW	unfocused	N/A	41	179	45	f	1
01_2b	ua	167.492	167.522	lAstivka	i	SWW	unfocused	N/A	30	--undefined--	31	f	1
01_2b	ua	173.64	173.735	bErezen'	e	SWW	unfocused	N/A	95	171	52	f	1
01_2b	ua	209.875	209.982	pArostok	o	SWW	focused	N/A	106	200	51	f	1
01_2b	ua	219.483	219.566	pErepel	e	SWW	focused	N/A	82	189	48	f	1
01_2b	ua	225.413	225.487	rAyduzhka	u	SWW	focused	N/A	74	186	45	f	1
01_2b	ua	230.735	230.858	kUr'ava	a	SWW	focused	N/A	123	195	56	f	1
01_2b	ua	240.819	240.877	bEsida	i	SWW	unfocused	N/A	58	188	43	f	1
01_2b	ua	297.126	297.169	bEsida	i	SWW	unfocused	N/A	44	169	38	f	1
01_2b	ua	320.613	320.713	kUr'ava	a	SWW	unfocused	N/A	101	171	52	f	1
01_2b	ua	343.724	343.805	pErepel	e	SWW	unfocused	N/A	81	174	55	f	1
01_2b	ua	361.471	361.554	pArostok	o	SWW	unfocused	N/A	82	174	51	f	1
01_2b	ua	378.633	378.705	rAyduzhka	u	SWW	unfocused	N/A	73	177	45	f	1
03_1b	de	351.753	351.802	Exodus	o	SWW	focused	N/A	49	207	73	f	1
03_1b	de	362.764	362.809	kOpula	u	SWW	focused	N/A	44	236	72	f	0
03_1b	de	380.618	380.654	Enkelin	e	SWW	focused	N/A	36	220	79	f	1
03_1b	de	386.515	386.589	Abakus	a	SWW	focused	N/A	74	204	76	f	1
03_1b	de	403.253	403.323	kAritas	i	SWW	focused	N/A	71	288	68	f	0
03_1b	de	438.336	438.371	Enkelin	e	SWW	unfocused	N/A	36	234	80	f	0
03_1b	de	469.887	469.935	kOpula	u	SWW	unfocused	N/A	48	261	70	f	0
03_1b	de	488.168	488.238	Abakus	a	SWW	unfocused	N/A	70	238	76	f	0
03_1b	de	500.755	500.811	Exodus	o	SWW	unfocused	N/A	56	270	73	f	0
03_1b	de	518.575	518.625	kAritas	i	SWW	unfocused	N/A	50	186	65	f	0
03_1b	de	537.195	537.254	kOlibri	i	SWW	focused	N/A	59	190	79	f	0
03_1b	de	556.03	556.076	gEgenstand	e	SWW	focused	N/A	46	242	82	f	1
03_1b	de	579.863	579.961	Anorak	o	SWW	focused	N/A	98	235	79	f	0
03_1b	de	585.494	585.571	kAnapee	a	SWW	focused	N/A	77	216	80	f	0
03_1b	de	605.906	605.979	Uvula	u	SWW	focused	N/A	73	226	84	f	1
03_1b	de	626.331	626.377	gEgenstand	e	SWW	unfocused	N/A	46	252	81	f	0
03_1b	de	649.501	649.54	Anorak	o	SWW	unfocused	N/A	39	161	73	f	0
03_1b	de	673.465	673.5	kAnapee	a	SWW	unfocused	N/A	34	280	73	f	0
03_1b	de	684.469	684.532	Uvula	u	SWW	unfocused	N/A	63	230	77	f	0
03_1b	de	705.365	705.418	kOlibri	i	SWW	unfocused	N/A	53	161	65	f	0
03_1b	ua	26.656	26.739	dErevo	e	SWW	focused	N/A	82	165	73	f	0
03_1b	ua	43.714	43.785	pOdruha	u	SWW	focused	N/A	71	159	76	f	1
03_1b	ua	59.457	59.522	prOlisok	i	SWW	focused	N/A	65	174	73	f	0
03_1b	ua	69.987	70.052	zOloto	o	SWW	focused	N/A	65	157	77	f	1
03_1b	ua	84.737	84.794	pYsanka	a	SWW	focused	N/A	56	206	78	f	0
03_1b	ua	98.772	98.829	prOlisok	i	SWW	unfocused	N/A	58	174	72	f	0
03_1b	ua	110.186	110.264	dErevo	e	SWW	unfocused	N/A	79	141	73	f	0
03_1b	ua	126.69	126.755	pOdruha	u	SWW	unfocused	N/A	65	146	72	f	1
03_1b	ua	142.109	142.164	zOloto	o	SWW	unfocused	N/A	55	--undefined--	72	f	1
03_1b	ua	163.492	163.543	pYsanka	a	SWW	unfocused	N/A	50	161	75	f	0
03_1b	ua	177.517	177.604	vYrizka	i	SWW	focused	N/A	87	159	76	f	0
03_1b	ua	182.266	182.318	zAbavka	a	SWW	unfocused	N/A	52	161	69	f	0
03_1b	ua	195.486	195.563	zArodok	o	SWW	focused	N/A	77	200	81	f	0
03_1b	ua	218.241	218.301	vEresen'	e	SWW	focused	N/A	60	169	76	f	0
03_1b	ua	240.071	240.129	pOdushka	u	SWW	focused	N/A	58	179	73	f	0
03_1b	ua	265.236	265.277	pOdushka	u	SWW	unfocused	N/A	42	146	76	f	0
03_1b	ua	279.192	279.231	zAbavka	a	SWW	unfocused	N/A	40	166	71	f	0
03_1b	ua	293.722	293.797	vYrizka	i	SWW	unfocused	N/A	76	196	79	f	0
03_1b	ua	303.165	303.223	vEresen'	e	SWW	unfocused	N/A	58	179	74	f	0
03_1b	ua	308.659	308.728	zArodok	o	SWW	unfocused	N/A	69	211	72	f	1
04_3b	de	31.094	31.143	gEgenstand	e	SWW	focused	N/A	49	289	78	f	1
04_3b	de	52.134	52.219	Anorak	o	SWW	focused	N/A	84	251	74	f	1
04_3b	de	57.741	57.841	kAnapee	a	SWW	focused	N/A	100	213	69	f	1
04_3b	de	73.204	73.26	Uvula	u	SWW	focused	N/A	56	237	74	f	1
04_3b	de	97.772	97.812	gEgenstand	e	SWW	unfocused	N/A	39	217	65	f	0
04_3b	de	119.771	119.833	Anorak	o	SWW	unfocused	N/A	62	244	71	f	0
04_3b	de	141.267	141.328	kAnapee	a	SWW	unfocused	N/A	61	251	64	f	0
04_3b	de	151.108	151.186	Uvula	u	SWW	unfocused	N/A	78	248	75	f	0
04_3b	de	172.775	172.845	kOlibri	i	SWW	unfocused	fail	69	237	70	f	0
04_3b	de	196.562	196.607	Ursula	u	SWW	focused	N/A	46	211	71	f	1
04_3b	de	216.209	216.272	Ananas	a	SWW	focused	N/A	62	257	77	f	1
04_3b	de	230.261	230.321	lIbero	e	SWW	focused	N/A	60	256	68	f	1
