participant	language	starting_point	ending_point	word	vowel	stress	focus	comments	duration	pitch	intensity	gender	boundary	speech	Ntime
de01	mono	13.828	13.887	instruktor	u	WSW	focused	N/A	58	131	60	m	0	speech	NA
de01	mono	19.716	19.816	kOlibri	i	SWW	focused	N/A	100	93	63	m	0	speech	NA
de01	mono	29.566	29.643	vermIEter	i	WSW	focused	N/A	77	121	62	m	0	speech	NA
de01	mono	34.711	34.748	gEgenstand	e	SWW	focused	N/A	38	107	67	m	0	speech	NA
de01	mono	45.429	45.603	furOre	o	WSW	focused	N/A	174	103	69	m	0	speech	NA
de01	mono	55.753	55.809	Anorak	o	SWW	focused	N/A	56	100	66	m	0	speech	NA
de01	mono	61.551	61.637	kAnapee	a	SWW	focused	N/A	86	100	64	m	0	speech	NA
de01	mono	67.329	67.488	pauschAle	a	WSW	focused	N/A	159	107	70	m	0	speech	NA
de01	mono	78.979	79.027	Uvula	u	SWW	focused	N/A	48	98	63	m	0	speech	NA
de01	mono	88.759	88.817	kalEnder	e	WSW	focused	N/A	58	104	67	m	0	speech	NA
de01	mono	101.837	101.862	gEgenstand	e	SWW	unfocused	int?	25	113	66	m	0	speech	NA
de01	mono	113.118	113.195	vermIEter	i	WSW	unfocused	N/A	76	124	63	m	0	speech	NA
de01	mono	119.195	119.249	kalEnder	e	WSW	unfocused	N/A	54	91	66	m	0	speech	NA
de01	mono	125.359	125.41	Anorak	o	SWW	unfocused	N/A	51	94	63	m	0	speech	NA
de01	mono	136.275	136.373	pauschAle	a	WSW	unfocused	N/A	98	97	67	m	0	speech	NA
de01	mono	142.376	142.445	furOre	o	WSW	unfocused	N/A	70	100	65	m	0	speech	NA
de01	mono	148.471	148.532	kAnapee	a	SWW	unfocused	N/A	61	89	58	m	0	speech	NA
de01	mono	159.351	159.399	Uvula	u	SWW	unfocused	N/A	49	102	64	m	0	speech	NA
de01	mono	170.491	170.53	instrUktor	u	WSW	unfocused	N/A	39	108	54	m	0	speech	NA
de01	mono	180.987	181.047	kOlibri	i	SWW	unfocused	N/A	60	102	67	m	0	speech	NA
de01	mono	194.526	194.579	kOsovo	o	SWW	unfocused	N/A	52	99	68	m	0	speech	NA
de01	mono	200.582	200.63	Ursula	u	WSW	unfocused	N/A	48	91	65	m	0	speech	NA
de01	mono	211.618	211.733	parAbel	a	WSW	unfocused	N/A	116	93	65	m	0	speech	NA
de01	mono	221.912	221.947	Ananas	a	SWW	unfocused	N/A	35	97	67	m	0	speech	NA
de01	mono	227.55	227.637	melOne	o	WSW	unfocused	N/A	87	92	64	m	0	speech	NA
de01	mono	233.067	233.146	latErne	e	WSW	unfocused	N/A	79	95	60	m	0	speech	NA
