participant	language	starting_point	ending_point	word	vowel	stress	focus	duration	pitch	intensity	gender	f0	Ntime	z1	type
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	202.347997329104	5	-0.5248353316869973	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	197.303073690533	10	-0.6664854998504057	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	192.0668973396	15	-0.8135056162645005	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	188.72053667107	20	-0.907463936626106	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	188.834666274249	25	-0.9042594327245744	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	197.701683437626	30	-0.6552934300090296	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	200.994947448695	35	-0.5628259449894621	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	196.854530733319	40	-0.6790795825104705	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	193.357846506517	45	-0.7772586520515783	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	189.968245232857	50	-0.8724310718578864	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	168.406991635508	55	-1.4778228313144255	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	183.787763002353	60	-1.0459651845624804	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	209.399079994533	65	-0.3268567066676055	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	231.521160070885	70	0.29428180551555655	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	247.086537005123	75	0.7313227635599063	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	259.386471190878	80	1.076677395390284	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	269.666972929141	85	1.3653308824114785	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	275.335524645142	90	1.5244911316718537	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	272.831365922823	95	1.4541799576012728	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	261.151545273152	100	1.1262367264103677	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	242.589295777542	105	0.6050502921021007	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	238.650647731083	110	0.4944618673632425	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	240.509669833014	115	0.5466590485742163	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	239.338575597974	120	0.5137773426827075	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	230.3453176172	125	0.2612667802682502	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	215.892535909583	130	-0.14453499315420731	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	202.060907396576	135	-0.5328961746519331	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	192.474268419741	140	-0.8020675477939081	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	187.04276635804	145	-0.954571973140924	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	185.323041486506	150	-1.0028579997886116	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	186.299301149444	155	-0.9754468127551662	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	187.624974532246	160	-0.938224870252812	like_de
01_2b	de	260.346	260.451	Abakus	a	SWW	focused	104	208	51	f	188.960462971429	165	-0.9007273429276722	like_de
